product,rating,rating count,price,product_url
Hayabusa S4 Boxing Gloves for Men and Women  ,4.4 out of 5 stars,"4,395  ",79.0,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03534312LJVZ9I9LM2&url=%2FHayabusa-S4-Boxing-Gloves-Blue%2Fdp%2FB081G4RG7T%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174741%26sr%3D8-1-spons%26psc%3D1&qualifier=1656174741&id=8567664167886956&widgetName=sp_atf
ZTTY Boxing Gloves Kickboxing Muay Thai MMA Pro Grade Sparring Training Gloves for Men & Women  ,4.6 out of 5 stars,663  ,36.99,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03372502ILS3QGUEHJKT&url=%2FZTTY-Boxing-Kickboxing-Sparring-Training%2Fdp%2FB082X35Z16%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174741%26sr%3D8-2-spons%26psc%3D1&qualifier=1656174741&id=8567664167886956&widgetName=sp_atf
Hawk Sports HWK Boxing Gloves for Men & Women Training Pro Punching Heavy Bag Mitts UFC MMA Muay Thai Sparring Kickboxing Gloves  ,4.6 out of 5 stars,779  ,27.29,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0133264K6SCFMBK2W1O&url=%2FHawk-Training-Punching-Sparring-Kickboxing%2Fdp%2FB07J4LWXSQ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174741%26sr%3D8-3-spons%26psc%3D1&qualifier=1656174741&id=8567664167886956&widgetName=sp_atf
"Boxing Gloves PU Sparring Gloves, Kickboxing Gloves for Outdoor Sports Training, Muay Thai, Training Sparring, Fighting, Kickboxing, Punch Bag Boxing for Men & Women  ",4.5 out of 5 stars,4.5 out of 5 stars ,30.99,https://amazon.ca/Sparring-Kickboxing-Outdoor-Training-Fighting/dp/B08S3SLWT6/ref=sr_1_5?keywords=boxing+glove&qid=1656174741&sr=8-5
Everlast Pro Style Elite Training Gloves - Black 16 oz  ,4.3 out of 5 stars,47  ,29.99,https://amazon.ca/Everlast-Black-Style-Training-Gloves/dp/B0963ZBXX6/ref=sr_1_6?keywords=boxing+glove&qid=1656174741&sr=8-6
"RDX Boxing Gloves, Training Sparring, Maya Hide Leather, Muay Thai MMA Kickboxing, Men Women Adult, Heavy Punching Bag Focus Mitts Pads Workout, Ventilated Palm, Multi Layered, 8 10 12 14 16 Oz  ",4.7 out of 5 stars,"2,773  ",52.99,https://amazon.ca/RDX-Sparring-Training-Kickboxing-Punching/dp/B08MWQT29F/ref=sr_1_7?keywords=boxing+glove&qid=1656174741&sr=8-7
Everlast Pro Style Training Gloves  ,4.5 out of 5 stars,"15,895  ",39.0,https://amazon.ca/Everlast-Pro-Style-Training-Gloves/dp/B000JF2W8O/ref=sxin_15?asc_contentid=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&asc_contenttype=article&ascsubtag=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&content-id=amzn1.sym.f0c463a3-b071-4de7-8524-0a623d16c5ab%3Aamzn1.sym.f0c463a3-b071-4de7-8524-0a623d16c5ab&creativeASIN=B000JF2W8O&cv_ct_cx=boxing+glove&cv_ct_id=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=boxing+glove&linkCode=oas&pd_rd_i=B000JF2W8O&pd_rd_r=6b4c07d0-63a2-4789-9d6b-b37925593cfb&pd_rd_w=LN5DN&pd_rd_wg=W01Ok&pf_rd_p=f0c463a3-b071-4de7-8524-0a623d16c5ab&pf_rd_r=SJJ5ZJZBFZWQ85SSF25V&qid=1656174741&sr=1-1-071eec3b-aca5-449e-bbff-36c3e2e2e9e2&tag=evdyca-20
Sanabul Essential GEL Boxing Kickboxing Training Gloves  ,4.6 out of 5 stars,"18,217  ",57.43,https://amazon.ca/Sanabul-Essential-Kickboxing-Training-AllBlack/dp/B0773RH4GJ/ref=sxin_15?asc_contentid=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&asc_contenttype=article&ascsubtag=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&content-id=amzn1.sym.f0c463a3-b071-4de7-8524-0a623d16c5ab%3Aamzn1.sym.f0c463a3-b071-4de7-8524-0a623d16c5ab&creativeASIN=B0773RH4GJ&cv_ct_cx=boxing+glove&cv_ct_id=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=boxing+glove&linkCode=oas&pd_rd_i=B0773RH4GJ&pd_rd_r=6b4c07d0-63a2-4789-9d6b-b37925593cfb&pd_rd_w=LN5DN&pd_rd_wg=W01Ok&pf_rd_p=f0c463a3-b071-4de7-8524-0a623d16c5ab&pf_rd_r=SJJ5ZJZBFZWQ85SSF25V&qid=1656174741&sr=1-2-071eec3b-aca5-449e-bbff-36c3e2e2e9e2&tag=evdyca-20
Venum Elite Boxing Gloves  ,4.5 out of 5 stars,"5,781  ",63.59,https://amazon.ca/Venum-Elite-Boxing-Gloves-16-Ounce/dp/B010HWJRI6/ref=sxin_15?asc_contentid=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&asc_contenttype=article&ascsubtag=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&content-id=amzn1.sym.f0c463a3-b071-4de7-8524-0a623d16c5ab%3Aamzn1.sym.f0c463a3-b071-4de7-8524-0a623d16c5ab&creativeASIN=B010HWJRI6&cv_ct_cx=boxing+glove&cv_ct_id=amzn1.osa.7a8500ae-51c6-4a79-a9d0-4f498c3f7af6.A2EUQ1WTGCTBG2.en_CA&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=boxing+glove&linkCode=oas&pd_rd_i=B010HWJRI6&pd_rd_r=6b4c07d0-63a2-4789-9d6b-b37925593cfb&pd_rd_w=LN5DN&pd_rd_wg=W01Ok&pf_rd_p=f0c463a3-b071-4de7-8524-0a623d16c5ab&pf_rd_r=SJJ5ZJZBFZWQ85SSF25V&qid=1656174741&sr=1-3-071eec3b-aca5-449e-bbff-36c3e2e2e9e2&tag=evdyca-20
Everlast Pro Style Training Gloves  ,4.5 out of 5 stars,"15,895  ",49.99,https://amazon.ca/Everlast-Pro-Style-Training-Gloves/dp/B000JF2W8O/ref=sr_1_8?keywords=boxing+glove&qid=1656174741&sr=8-8
